timestamp,x (mm),y (mm),z (mm)
1741709792.834217,-542.9744337051175,254.07866505890436,173.92212955304782
1741709792.8451567,-541.5887846937899,257.0190498570322,173.92212955304782
1741709792.8561594,-540.1362976902203,260.0691521847592,173.92212955304782
1741709792.8670843,-538.6165700096045,263.2004221644405,173.929951906469
1741709792.8781083,-537.1860656965907,266.1197103142351,173.92212955304782
1741709792.8890822,-535.7926715951535,268.9224971039495,173.929951906469
1741709792.9000833,-534.3315232738737,271.8342581653686,173.92212955304782
1741709792.9110928,-532.7918271758538,274.84024625183287,173.92212955304782
1741709792.922156,-531.1478200515903,278.0044145888943,173.929951906469
1741709792.9331594,-529.6160140461919,280.91197285609684,173.929951906469
1741709792.9441583,-528.1092358103658,283.7447869961836,173.92212955304782
1741709792.95515,-526.5253301645214,286.681938053457,173.92212955304782
1741709792.9661415,-524.8671513959613,289.71499206675657,173.92212955304782
1741709792.977174,-523.2198225651639,292.66211738551783,173.929951906469
1741709792.9881508,-521.564359382545,295.63723392988976,173.929951906469
1741709792.9991448,-519.9380177247926,298.47111631796776,173.93777424908728
1741709793.0101175,-518.2277694102285,301.4404398633945,173.929951906469
1741709793.0211465,-516.4681913997626,304.4440428938458,173.929951906469
1741709793.0320728,-514.6889639339197,307.4348575397866,173.929951906469
1741709793.043074,-512.9683392129554,310.33056710243835,173.929951906469
1741709793.0541353,-511.25935908916324,313.13064209571525,173.929951906469
1741709793.0651512,-509.5894653746443,315.8495627545712,173.929951906469
1741709793.076141,-507.7985442743926,318.73698331178286,173.92212955304782
1741709793.0871239,-505.96879682211227,321.6177018689327,173.929951906469
1741709793.098129,-504.155539428636,324.4929162223346,173.929951906469
1741709793.1091225,-502.3291481492589,327.31313376443336,173.929951906469
1741709793.1201277,-500.5607891534527,330.0202030813781,173.929951906469
1741709793.1311412,-498.6662482408634,332.87515852658515,173.929951906469
1741709793.142126,-496.73632671506994,335.73357814460184,173.929951906469
1741709793.1531403,-494.9147881045976,338.44439970354244,173.929951906469
1741709793.1641374,-493.11842659821343,341.0495679882452,173.92212955304782
1741709793.1751242,-491.30584566316986,343.65421508047643,173.92212955304782
1741709793.186144,-489.3018516663906,346.51666774944647,173.929951906469
1741709793.197126,-487.22403879445704,349.45486054099274,173.929951906469
1741709793.2081282,-485.38006458002155,351.9970185070418,173.93777424908728
1741709793.2191277,-483.4716662272017,354.6217860002504,173.929951906469
1741709793.2301447,-481.5425131752206,357.23786772582844,173.92212955304782
1741709793.2411423,-479.4410357703209,360.0599858117281,173.929951906469
1741709793.2520916,-477.3892519101277,362.78318540648365,173.929951906469
1741709793.2631059,-475.5041853766747,365.25074505604846,173.929951906469
1741709793.2741158,-473.4566969810668,367.90855093543985,173.92212955304782
1741709793.285132,-471.4378264881186,370.50526685282813,173.92212955304782
1741709793.2961185,-469.270735387611,373.25344827237535,173.92212955304782
1741709793.3071215,-467.16079548247404,375.8837076138624,173.93777424908728
1741709793.3181176,-465.16956488157496,378.35307889520465,173.929951906469
1741709793.3291054,-463.0851892047781,380.9222252602018,173.929951906469
1741709793.3401592,-461.04742289964935,383.3856233720609,173.93777424908728
1741709793.3511395,-458.8496133491159,386.006293372868,173.93777424908728
1741709793.3621166,-456.64434599380206,388.63226063602906,173.93777424908728
1741709793.373097,-454.515664328865,391.121096084648,173.929951906469
1741709793.384116,-452.3647955402808,393.6070936248453,173.929951906469
1741709793.3950381,-450.2788732755573,395.9986674606751,173.92212955304782
1741709793.4061437,-448.0577531083486,398.5030768708017,173.929951906469
1741709793.4171069,-445.73243085977026,401.12125905061725,173.929951906469
1741709793.4280944,-443.6005605543511,403.48994372930764,173.94559658089548
1741709793.4391077,-441.4841733922477,405.79400571723767,173.929951906469
1741709793.4500926,-439.39959107312814,408.05644374110204,173.92212955304782
1741709793.461121,-437.12383998981363,410.4865441500222,173.929951906469
1741709793.4720836,-434.7678954989665,412.9938849814053,173.929951906469
1741709793.4830494,-432.52963401933675,415.3444289030842,173.92212955304782
1741709793.4940999,-430.35937703599444,417.5922819506744,173.929951906469
1741709793.5050833,-428.2028641015453,419.8028617076684,173.93777424908728
1741709793.5160923,-425.81803625737234,422.221666332543,173.93777424908728
1741709793.52713,-423.3516001155157,424.6955378371317,173.93777424908728
1741709793.5380955,-421.03144322589674,427.0125572265885,173.93777424908728
1741709793.5490992,-418.79071155560905,429.20512641823416,173.93777424908728
1741709793.5600948,-416.5494531769399,431.3814983380433,173.92212955304782
1741709793.5710902,-414.13572634476924,433.7044429248033,173.92212955304782
1741709793.582101,-411.6151572812844,436.08602936287707,173.92212955304782
1741709793.5930974,-409.30743302315,438.26536300623667,173.929951906469
1741709793.6041057,-407.0027111469956,440.41177996834955,173.929951906469
1741709793.6150854,-404.6144323641206,442.60057767840226,173.929951906469
1741709793.626092,-402.10766908656444,444.8848637324942,173.93777424908728
1741709793.6370966,-399.60183832729825,447.1316122594737,173.929951906469
