timestamp,positions
1768095275.115396,"[0.10814226199497821, 0.14779442660971337, 0.7123455326308786, 0.5344711838186929, 0.3220943140219053, 0.2991330226534564]"
1768095275.1222672,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344409012689443, 0.3220943140219053, 0.2991330226534564]"
1768095275.1290708,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344105810543329, 0.3220640314721568, 0.2991330226534564]"
1768095275.1363993,"[0.108111970029014, 0.14776413464374916, 0.7124060977303757, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095275.1432686,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095275.1502733,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5345014663684413, 0.3220640314721568, 0.2991330226534564]"
1768095275.1575623,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220943140219053, 0.2991330226534564]"
1768095275.1643155,"[0.108111970029014, 0.14779442660971337, 0.7124060977303757, 0.5344711838186929, 0.3220943140219053, 0.2991027212712765]"
1768095275.1713629,"[0.10814226199497821, 0.14773384267778494, 0.7124060977303757, 0.5344409012689443, 0.3220943140219053, 0.2991330226534564]"
1768095275.1782355,"[0.108111970029014, 0.14776413464374916, 0.7124060977303757, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.1851137,"[0.10814226199497821, 0.14779442660971337, 0.7123455326308786, 0.5344409012689443, 0.3220640314721568, 0.2991330226534564]"
1768095275.1920843,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095275.1993203,"[0.10814226199497821, 0.14779442660971337, 0.7123455326308786, 0.5344409012689443, 0.3220943140219053, 0.2991330226534564]"
1768095275.2062795,"[0.108111970029014, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.2133243,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.2201924,"[0.10814226199497821, 0.14776413464374916, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991330226534564]"
1768095275.2273507,"[0.10814226199497821, 0.14776413464374916, 0.7123455326308786, 0.5344409012689443, 0.3220943140219053, 0.2991027212712765]"
1768095275.2343547,"[0.10814226199497821, 0.14779442660971337, 0.7123455326308786, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095275.2410753,"[0.108111970029014, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.299072438721528]"
1768095275.2481499,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344711838186929, 0.32203371125754543, 0.2991027212712765]"
1768095275.255198,"[0.10814226199497821, 0.14776413464374916, 0.7123455326308786, 0.5344711838186929, 0.32203371125754543, 0.2991330226534564]"
1768095275.2620015,"[0.10814226199497821, 0.14779442660971337, 0.7124060977303757, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
1768095275.2692595,"[0.108111970029014, 0.14773384267778494, 0.7124060977303757, 0.5345014663684413, 0.3220640314721568, 0.2991027212712765]"
1768095275.276173,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344409012689443, 0.3220943140219053, 0.2991330226534564]"
1768095275.283265,"[0.108111970029014, 0.14779442660971337, 0.7123455326308786, 0.5344409012689443, 0.3220640314721568, 0.29916330520320494]"
1768095275.2902167,"[0.10814226199497821, 0.14779442660971337, 0.7123455326308786, 0.5344409012689443, 0.3220943140219053, 0.29916330520320494]"
1768095275.2971427,"[0.108111970029014, 0.14773384267778494, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095275.3042266,"[0.108111970029014, 0.14779442660971337, 0.7124060977303757, 0.5344711838186929, 0.3220640314721568, 0.2991027212712765]"
1768095275.3113172,"[0.108111970029014, 0.14779442660971337, 0.7123455326308786, 0.5344711838186929, 0.32203371125754543, 0.2991330226534564]"
1768095275.3183258,"[0.108111970029014, 0.14776413464374916, 0.7123758151806271, 0.5344711838186929, 0.3220943140219053, 0.2991330226534564]"
1768095275.3251421,"[0.10814226199497821, 0.14779442660971337, 0.7123758151806271, 0.5344711838186929, 0.3220943140219053, 0.2991330226534564]"
1768095275.3324523,"[0.10817255396094244, 0.14776413464374916, 0.7123758151806271, 0.5344409012689443, 0.3220640314721568, 0.2991027212712765]"
1768095275.3391821,"[0.10814226199497821, 0.14779442660971337, 0.7123455326308786, 0.5345014663684413, 0.3220640314721568, 0.2991330226534564]"
1768095275.34641,"[0.10814226199497821, 0.14779442660971337, 0.7124060977303757, 0.5344409012689443, 0.32203371125754543, 0.2991330226534564]"
1768095275.3530605,"[0.108111970029014, 0.14779442660971337, 0.7123758151806271, 0.5344711838186929, 0.3220640314721568, 0.2991330226534564]"
