timestamp,model_name,goal_image,curr_j0,curr_j1,curr_j2,curr_j3,curr_j4,curr_j5,cmd_j0,cmd_j1,cmd_j2,cmd_j3,cmd_j4,cmd_j5,delta_j0,delta_j1,delta_j2,delta_j3,delta_j4,delta_j5
1769212363.0491908,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.1817495822906494,-1.675447702407837,-0.6570626497268677,0.9438669085502625,0.6853250861167908,1.86190927028656,-1.2195769548416138,-1.6782145500183105,-0.6451892852783203,0.9235835075378418,0.6757434606552124,1.862133502960205,-0.037827372550964355,-0.0027668490074574947,0.01187338586896658,-0.02028340846300125,-0.009581631980836391,0.00022418939624913037
1769212363.1461325,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.1858086585998535,-1.6777498722076416,-0.652549147605896,0.9378387928009033,0.6833106875419617,1.8622575998306274,-1.2235983610153198,-1.6807152032852173,-0.6402828693389893,0.9168359637260437,0.6739118695259094,1.8625609874725342,-0.0377897247672081,-0.002965298481285572,0.012266291305422783,-0.02100284956395626,-0.00939883477985859,0.0003033297834917903
1769212363.2483418,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.1929576396942139,-1.683111548423767,-0.6425527930259705,0.9228140115737915,0.6787517666816711,1.8644840717315674,-1.2300820350646973,-1.6863856315612793,-0.630302906036377,0.9014452695846558,0.6686228513717651,1.8638808727264404,-0.037124354392290115,-0.003274128772318363,0.01224990002810955,-0.02136874943971634,-0.010128915309906006,-0.0006031758384779096
1769212363.3480818,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.1966835260391235,-1.6862620115280151,-0.636403501033783,0.9138475656509399,0.6756468415260315,1.8657108545303345,-1.2324268817901611,-1.689673662185669,-0.6245511770248413,0.892200231552124,0.6648159027099609,1.8638123273849487,-0.0357433520257473,-0.003411700017750263,0.011852307245135307,-0.02164735645055771,-0.01083092950284481,-0.001898576389066875
1769212363.4495523,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.202045202255249,-1.6905937194824219,-0.6287093758583069,0.9017307758331299,0.6720269918441772,1.8661198616027832,-1.236045241355896,-1.6941841840744019,-0.617146372795105,0.8805983066558838,0.6608008742332458,1.862788438796997,-0.03400006517767906,-0.0035904054529964924,0.011562985368072987,-0.021132497116923332,-0.011226121336221695,-0.0033314088359475136
1769212363.5490823,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.205528736114502,-1.694046974182129,-0.6214998960494995,0.8903409838676453,0.6681496500968933,1.8657259941101074,-1.2382911443710327,-1.698035717010498,-0.6104758977890015,0.87028568983078,0.655925452709198,1.8608680963516235,-0.03276243805885315,-0.003988759126514196,0.011024009436368942,-0.020055266097187996,-0.012224196456372738,-0.004857913590967655
1769212363.6475875,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.2084671258926392,-1.6975911855697632,-0.6148356199264526,0.8808293342590332,0.663999617099762,1.8650898933410645,-1.239890694618225,-1.7020516395568848,-0.6044484376907349,0.8626047968864441,0.6507304906845093,1.8589026927947998,-0.031423553824424744,-0.004460428841412067,0.010387172922492027,-0.018224559724330902,-0.013269136659801006,-0.006187210790812969
1769212363.7486806,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.212283968925476,-1.7016199827194214,-0.6070203185081482,0.8700454235076904,0.6582743525505066,1.8631510734558105,-1.2428667545318604,-1.7063875198364258,-0.597594678401947,0.8539370894432068,0.6433461904525757,1.855729579925537,-0.030582798644900322,-0.004767571575939655,0.009425654076039791,-0.016108354553580284,-0.014928136952221394,-0.007421485614031553
1769212363.846804,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.2138288021087646,-1.7036192417144775,-0.603627622127533,0.8646231293678284,0.6554118394851685,1.8621060848236084,-1.2438894510269165,-1.708496332168579,-0.5952481031417847,0.8505322337150574,0.6389135122299194,1.8531450033187866,-0.030060667544603348,-0.004877126310020685,0.008379526436328888,-0.01409087609499693,-0.016498353332281113,-0.008961040526628494
1769212363.9479885,/media/jerry/SSD/checkpoints/best_iris_experiment_combined.pth,goal1.png,-1.2169185876846313,-1.7076480388641357,-0.5972966551780701,0.856626033782959,0.648626446723938,1.8601675033569336,-1.247145652770996,-1.712470293045044,-0.5897640585899353,0.8438475728034973,0.6307974457740784,1.849234938621521,-0.030227111652493477,-0.00482220621779561,0.007532591000199318,-0.012778452597558498,-0.017828980460762978,-0.010932546108961105
