time,j0,j1,j2,j3,j4,j5,x,y,z
20.6100,-0.67031,-1.63216,0.29164,-0.71063,-1.11735,2.95593,0.42366,0.49399,0.34165
20.7102,-0.67063,-1.63445,0.29712,-0.71475,-1.12248,2.95438,0.42370,0.49341,0.34207
20.8104,-0.66984,-1.63591,0.30229,-0.71737,-1.12833,2.95292,0.42315,0.49331,0.34287
20.9110,-0.66854,-1.63942,0.30861,-0.71800,-1.13515,2.95249,0.42230,0.49343,0.34267
21.0114,-0.66836,-1.64298,0.31523,-0.71839,-1.14423,2.95059,0.42196,0.49300,0.34248
21.1126,-0.66837,-1.64746,0.32036,-0.71985,-1.15146,2.94688,0.42182,0.49260,0.34124
21.2120,-0.66880,-1.65204,0.32502,-0.72257,-1.15888,2.94265,0.42191,0.49201,0.33980
21.3122,-0.67015,-1.65535,0.33085,-0.72443,-1.16746,2.93866,0.42236,0.49093,0.33956
21.4116,-0.67201,-1.65784,0.33561,-0.72621,-1.17648,2.93300,0.42307,0.48964,0.33945
21.5131,-0.67298,-1.66113,0.33915,-0.72909,-1.18348,2.92783,0.42344,0.48884,0.33848
21.6109,-0.67388,-1.66517,0.34207,-0.73243,-1.19035,2.92434,0.42382,0.48810,0.33682
21.7112,-0.67424,-1.66907,0.34616,-0.73460,-1.19658,2.92122,0.42387,0.48759,0.33565
21.8112,-0.67545,-1.67122,0.35198,-0.73617,-1.20172,2.91934,0.42425,0.48665,0.33621
21.9166,-0.67621,-1.67412,0.35774,-0.73730,-1.20594,2.91888,0.42442,0.48595,0.33628
22.0211,-0.67653,-1.67610,0.36403,-0.73591,-1.21181,2.91727,0.42426,0.48539,0.33702
22.1216,-0.67768,-1.67715,0.37037,-0.73518,-1.21779,2.91591,0.42449,0.48444,0.33839
22.2208,-0.67927,-1.67820,0.37727,-0.73506,-1.22399,2.91298,0.42491,0.48324,0.33996
22.3214,-0.67985,-1.68057,0.38275,-0.73567,-1.22823,2.91165,0.42496,0.48262,0.34026
22.4213,-0.67893,-1.68344,0.38776,-0.73737,-1.23284,2.91110,0.42433,0.48262,0.34008
22.5221,-0.67607,-1.68661,0.39226,-0.73896,-1.23637,2.91409,0.42280,0.48353,0.33956
22.6220,-0.67556,-1.68983,0.39680,-0.74246,-1.23844,2.91747,0.42246,0.48343,0.33911
22.7219,-0.67574,-1.69197,0.40142,-0.74404,-1.24245,2.91717,0.42237,0.48299,0.33928
22.8122,-0.67758,-1.69452,0.40795,-0.74530,-1.24597,2.91634,0.42300,0.48177,0.33985
22.9114,-0.67837,-1.69681,0.41360,-0.74459,-1.25294,2.91181,0.42305,0.48097,0.34015
23.0119,-0.67970,-1.69939,0.41994,-0.74455,-1.25963,2.90958,0.42336,0.47990,0.34053
23.1114,-0.67980,-1.70228,0.42612,-0.74395,-1.26846,2.90560,0.42304,0.47930,0.34060
23.2118,-0.68108,-1.70599,0.43156,-0.74276,-1.27730,2.90275,0.42331,0.47828,0.33987
23.3114,-0.68228,-1.70954,0.43805,-0.74370,-1.28204,2.90008,0.42359,0.47731,0.33974
23.4118,-0.68372,-1.71299,0.44459,-0.74529,-1.28520,2.90009,0.42402,0.47627,0.33975
23.5119,-0.68487,-1.71539,0.45134,-0.74663,-1.28952,2.90040,0.42425,0.47526,0.34046
23.6121,-0.68555,-1.71756,0.45491,-0.74862,-1.29462,2.90061,0.42439,0.47460,0.34024
23.7122,-0.68562,-1.72023,0.45930,-0.74982,-1.30309,2.89802,0.42414,0.47406,0.33989
23.8123,-0.68578,-1.72205,0.46464,-0.75162,-1.31073,2.89583,0.42390,0.47342,0.34044
23.9109,-0.68789,-1.72340,0.46912,-0.75250,-1.31764,2.89146,0.42459,0.47203,0.34098
24.0117,-0.69015,-1.72544,0.47545,-0.75403,-1.32407,2.88790,0.42529,0.47048,0.34174
24.1106,-0.69145,-1.72838,0.48076,-0.75523,-1.33041,2.88593,0.42560,0.46944,0.34156
24.2114,-0.69204,-1.73136,0.48743,-0.75578,-1.33850,2.88399,0.42545,0.46857,0.34178
24.3138,-0.69269,-1.73434,0.49372,-0.75572,-1.34608,2.88192,0.42535,0.46772,0.34185
24.4115,-0.69293,-1.73783,0.50096,-0.75666,-1.35415,2.87958,0.42502,0.46695,0.34194
24.5108,-0.69167,-1.74216,0.50776,-0.75831,-1.36103,2.87669,0.42405,0.46689,0.34140
24.6140,-0.69112,-1.74482,0.51303,-0.75869,-1.36630,2.87348,0.42347,0.46667,0.34139
